キャラクター	ゆうなま	ムスメ	 musume (yuunama),yuusha no kuse ni namaiki da, purple hair, demon girl, purple skin, black sclera,
キャラクター	俺妹	きりの	ore no imouto ga konna ni kawaii wake ga nai,1girl, kousaka_kirino,orange hair|brown hair,long hair,floating hair,shiny hair,blue eyes|aqua eyes,(pink hairclip),badmood,white shirt,(gray sailor collar|blue sailor collar),red ascot,
キャラクター	朔菜	朔菜	mochizuki anna,red eyes,long sleeve,black eyebrows,12 years old,hair between eyes,long hair,ahoge,red hair,red skirt,preated skirt,low twintails,white sailor blouse,red ribbon,long red hair in pigtails,white cuffs with red stripes,
キャラクター	朔菜	玲	long hair,curly hair,swept bangs,light purple eyes,light purple hair,makabe mizuki, idolmaster million live!,small breasts, 
キャラクター	朔菜	佳乃	ibuki tsubasa,idolmaster million live!,low ponytail,orange eyes,light brown hair,small breasts,ahoge,
